centx,centy,year,month,fews_ha,ndvi_mean,ndvi_anom,rain_mean,rain_anom,et_mean,et_anom,acled_count,acled_fatalities,p_staple_food,area,cropland_pct,pop,ruggedness_mean,pasture_pct,log_pop,log_ruggedness
69.83373102,33.37745506,2014,4,0.0,0.264272674,107.4337429,18.24818888,8.978007285,5.731912019,1.294953257,0,0,1.489409999,4287.822072999999,30.17369166,728515.0,249067.0191,39.85,13.498763494659366,12.42547729224372
69.83373102,33.37745506,2014,7,0.0,0.27375334,110.6177861,7.252280133999999,-2.481956382,3.378284532,0.472045153,0,0,1.483566299,4287.822072999999,30.17369166,728515.0,249067.0191,39.85,13.498763494659366,12.42547729224372
69.83373102,33.37745506,2014,10,0.0,0.234613375,110.5940111,1.878025914,0.45824056700000004,1.9688520680000001,0.5625551010000001,0,0,1.454426385,4287.822072999999,30.17369166,728515.0,249067.0191,39.85,13.498763494659366,12.42547729224372
69.83373102,33.37745506,2015,1,0.0,0.198568766,106.29785449999999,4.093944246,-1.5612618630000001,3.675468528,-0.600542319,0,0,1.4386444330000001,4287.822072999999,30.17369166,768082.0,249067.0191,39.85,13.551651777263542,12.42547729224372
69.83373102,33.37745506,2015,4,0.0,0.258283231,104.99887779999999,10.28418679,1.014005195,5.216706987,0.779748225,0,0,1.3448406780000002,4287.822072999999,30.17369166,768082.0,249067.0191,39.85,13.551651777263542,12.42547729224372
69.83373102,33.37745506,2015,7,0.0,0.28850443800000003,116.5783847,12.11823624,2.383999728,3.693931625,0.787692245,0,0,1.3335052029999999,4287.822072999999,30.17369166,768082.0,249067.0191,39.85,13.551651777263542,12.42547729224372
69.83373102,33.37745506,2015,10,0.0,0.23372251300000002,110.1740695,2.31125554,0.891470192,2.3750045319999997,0.968707566,0,0,1.3938985130000001,4287.822072999999,30.17369166,768082.0,249067.0191,39.85,13.551651777263542,12.42547729224372
69.83373102,33.37745506,2016,2,0.0,0.22144888699999998,123.38574150000001,1.1968587609999999,-7.865337421,2.845126236,-2.122738884,0,0,1.391889507,4287.822072999999,30.17369166,812702.0,249067.0191,39.85,13.60811977767096,12.42547729224372
69.83373102,33.37745506,2016,6,0.0,0.242139687,110.45632659999998,3.362388075,-0.507914866,2.2928150030000003,0.10233859699999999,0,0,1.4040054869999998,4287.822072999999,30.17369166,812702.0,249067.0191,39.85,13.60811977767096,12.42547729224372
69.83373102,33.37745506,2016,10,0.0,0.19899837399999998,93.80551458,1.195903456,-0.22388189100000003,0.893524442,-0.512772524,0,0,1.45909919,4287.822072999999,30.17369166,812702.0,249067.0191,39.85,13.60811977767096,12.42547729224372
69.83373102,33.37745506,2017,2,0.0,0.173410025,96.61969793,20.00870613,10.94650995,4.647333455,-0.320531665,9,33,1.453835541,4287.822072999999,30.17369166,857322.0,249067.0191,39.85,13.661568856299558,12.42547729224372
69.83373102,33.37745506,2017,6,0.0,0.227748084,103.8913407,3.3475730539999997,-0.522729887,2.034606749,-0.155869656,17,65,1.513453128,4287.822072999999,30.17369166,857322.0,249067.0191,39.85,13.661568856299558,12.42547729224372
69.83373102,33.37745506,2017,10,0.0,0.20640835300000002,97.29849246,0.906748544,-0.513036804,0.8189876190000001,-0.587309348,15,56,1.462815762,4287.822072999999,30.17369166,857322.0,249067.0191,39.85,13.661568856299558,12.42547729224372
69.83373102,33.37745506,2018,2,0.0,0.20520483399999997,114.33496470000001,14.49631915,5.434122969,5.0351002430000005,0.067235123,6,22,1.4816047490000002,4287.822072999999,30.17369166,901942.0,249067.0191,39.85,13.712305495425221,12.42547729224372
69.83373102,33.37745506,2018,6,0.0,0.23387199999999997,106.6848739,7.685821679,3.815518738,2.383270389,0.19279398399999997,9,22,1.46139378,4287.822072999999,30.17369166,901942.0,249067.0191,39.85,13.712305495425221,12.42547729224372
69.83373102,33.37745506,2018,10,0.0,0.209411968,98.7143618,3.387015907,1.96723056,1.210751767,-0.19554520000000003,6,9,1.451881517,4287.822072999999,30.17369166,901942.0,249067.0191,39.85,13.712305495425221,12.42547729224372
69.83373102,33.37745506,2019,2,0.0,0.150670917,83.95003965,18.66257229,9.600376107,6.96370922,1.9958441000000002,4,6,1.419979343,4287.822072999999,30.17369166,946561.0,249067.0191,39.85,13.760590695521024,12.42547729224372
