Manufacturer,CPU Type,CPU Score,CPU Model,Memory Size (GB),OS Disk Type,User_Experience
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,2.9
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,1.6
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,2.9
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,1.5
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,1.6
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,1.2
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,1.2
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,3.1
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,2.1
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,2.7
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,3.1
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,3.2
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,4
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,4.8
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,3.4
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,1.2
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,1
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,24,HDD,3.4
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,4
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,2.2
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,1
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,3.4
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,0.6
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,3.2
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,1.9
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,0.6
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,3.2
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,2.8
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,3.6
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,3.6
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,2.6
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,3.4
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,2.8
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,2.8
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,3.5
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,1.9
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,SSD,4.1
Dell,i7,7149,Intel(R) Core(TM) i7-7820HQ CPU @ 2.90GHz,16,HDD,4.8
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,SSD,4.1
Dell,i7,7149,Intel(R) Core(TM) i7-7820HQ CPU @ 2.90GHz,16,HDD,1.4
Dell,i7,7149,Intel(R) Core(TM) i7-7820HQ CPU @ 2.90GHz,16,HDD,1.5
Dell,i5,6343,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz,16,SSD,4.3
Dell,i7,15512,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,32,SSD,4.8
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,16,HDD,4.4
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,2.2
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,3.2
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,1.7
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,4.6
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,1.9
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,3
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,2.8
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,0.7
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,16,HDD,3.6
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,1.6
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,16,HDD,2
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,2.4
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,3
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,3
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,2.6
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,3.3
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,0
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,1.5
GETAC,i5,3025,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,8,SSD,4
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,2.3
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,2.2
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,2.9
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,3
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,2.1
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,3
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,2.5
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,3
